transportmean_name,line_number,order_number,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
METRO,4,4_13,par_4_67,67,AVENIDA DE LA PAZ,Avda de Ramón y Cajal 107,40.453540000000004,-3.6611800000000003,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4_14,par_4_68,68,ARTURO SORIA,Calle de Arturo Soria 172,40.45583,-3.6561800000000004,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4_15,par_4_69,69,ESPERANZA,Calle de Andorra 51,40.45945,-3.6458199999999996,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4_16,par_4_70,70,CANILLAS,Avda de Machupichu 64,40.463809999999995,-3.6356,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,4,4_17,par_4_71,71,MAR DE CRISTAL,Gta del Mar de Cristal 1 B,40.469429999999996,-3.6383199999999998,A,http://www.crtm.es,0,est_4_71,Europe/Madrid,2
METRO,4,4_18,par_4_72,72,SAN LORENZO,Avda de la Barranquilla 9,40.474470000000004,-3.6395800000000005,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,4,4_19,par_4_73,73,PARQUE DE SANTA MARIA,Calle de Santa Virgilia 1,40.477109999999996,-3.6452400000000003,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,4,4_20,par_4_264,264,HORTALEZA,Calle del Capitán Cortés 4,40.47537,-3.65257,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,4,4_21,par_4_265,265,MANOTERAS,Calle de Bacares 24,40.47687,-3.6629,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,4,4_22,par_4_263,263,PINAR DE CHAMARTIN,Calle de Arturo Soria 330,40.480140000000006,-3.6668,A,http://www.crtm.es,0,est_4_263,Europe/Madrid,2
METRO,5,5_0,par_4_252,252,ALAMEDA DE OSUNA,Calle de la Corbeta 14,40.45779,-3.5875199999999996,A,http://www.crtm.es,0,,Europe/Madrid,2
